run,nelbo,kl,rec
0,98.09272766113281,17.735244750976562,80.35747528076172
1,99.54451751708984,17.605276107788086,81.93927764892578
2,98.63079071044922,17.80292510986328,80.82786560058594
3,99.30104064941406,18.230470657348633,81.070556640625
4,98.93759155273438,17.814998626708984,81.1225814819336
5,99.66220092773438,17.9415225982666,81.7206802368164
6,99.07970428466797,17.723247528076172,81.35647583007812
7,99.3747787475586,17.527666091918945,81.84709167480469
8,99.11689758300781,17.823259353637695,81.29360961914062
9,98.90472412109375,17.902009963989258,81.00272369384766
