run,nelbo,kl,rec
0,101.21007537841797,19.202438354492188,82.00763702392578
1,101.62274169921875,19.16586685180664,82.45686340332031
2,100.90809631347656,19.493864059448242,81.41423797607422
3,101.37190246582031,19.597225189208984,81.77467346191406
4,101.21363067626953,19.383872985839844,81.82977294921875
5,101.24065399169922,19.151681900024414,82.0890121459961
6,101.70957946777344,19.268611907958984,82.44097900390625
7,101.0358657836914,19.370574951171875,81.66529083251953
8,101.39269256591797,19.3391056060791,82.0535659790039
9,101.44308471679688,19.333646774291992,82.10942840576172
